1 4 100 5
0 200
0 200
0 200
0 200
428 0
428 0
428 0
428 0
  0	 35.00	 35.00	  0   0   0   0
  1	 41.00	 49.00	 51  10   1   5		1 2 4 8 16 
  2	 35.00	 17.00	 46   7   1   5		1 2 4 8 16 
  3	 55.00	 45.00	 48  13   2   3		5 10 20 
  4	 55.00	 20.00	 78  19   2   3		5 10 20 
  5	 15.00	 30.00	159  26   3   3		11 21 26 
  6	 25.00	 30.00	 20   3   1   5		1 2 4 8 16 
  7	 20.00	 50.00	 17   5   1   5		1 2 4 8 16 
  8	 10.00	 43.00	 26   9   1   5		1 2 4 8 16 
  9	 55.00	 60.00	 38  16   2   3		5 10 20 
 10	 30.00	 60.00	 41  16   2   3		5 10 20 
 11	 20.00	 65.00	 31  12   2   3		5 10 20 
 12	 50.00	 35.00	 87  19   2   3		5 10 20 
 13	 30.00	 25.00	130  23   2   3		5 10 20 
 14	 15.00	 10.00	 82  20   2   3		5 10 20 
 15	 30.00	 5.00	 21   8   1   5		1 2 4 8 16 
 16	 10.00	 20.00	 99  19   2   3		5 10 20 
 17	 5.00	 30.00	  5   2   1   5		1 2 4 8 16 
 18	 20.00	 40.00	 66  12   2   3		5 10 20 
 19	 15.00	 60.00	 48  17   2   3		5 10 20 
 20	 45.00	 65.00	 28   9   1   5		1 2 4 8 16 
 21	 45.00	 20.00	 39  11   2   3		5 10 20 
 22	 45.00	 10.00	 69  18   2   3		5 10 20 
 23	 55.00	 5.00	 69  29   3   3		11 21 26 
 24	 65.00	 35.00	  7   3   1   5		1 2 4 8 16 
 25	 65.00	 20.00	  9   6   1   5		1 2 4 8 16 
 26	 45.00	 30.00	 69  17   2   3		5 10 20 
 27	 35.00	 40.00	 53  16   2   3		5 10 20 
 28	 41.00	 37.00	 59  16   2   3		5 10 20 
 29	 64.00	 42.00	 29   9   1   5		1 2 4 8 16 
 30	 40.00	 60.00	104  21   2   3		5 10 20 
 31	 31.00	 52.00	 91  27   3   3		11 21 26 
 32	 35.00	 69.00	 41  23   2   3		5 10 20 
 33	 53.00	 52.00	 61  11   2   3		5 10 20 
 34	 65.00	 55.00	 32  14   2   3		5 10 20 
 35	 63.00	 65.00	 18   8   1   5		1 2 4 8 16 
 36	 2.00	 60.00	  6   5   1   5		1 2 4 8 16 
 37	 20.00	 20.00	 46   8   1   5		1 2 4 8 16 
 38	 5.00	 5.00	 16  16   2   3		5 10 20 
 39	 60.00	 12.00	 70  31   3   3		11 21 26 
 40	 40.00	 25.00	 35   9   1   5		1 2 4 8 16 
 41	 42.00	 7.00	 15   5   1   5		1 2 4 8 16 
 42	 24.00	 12.00	 27   5   1   5		1 2 4 8 16 
 43	 23.00	 3.00	 11   7   1   5		1 2 4 8 16 
 44	 11.00	 14.00	 63  18   2   3		5 10 20 
 45	 6.00	 38.00	 47  16   2   3		5 10 20 
 46	 2.00	 48.00	  1   1   1   5		1 2 4 8 16 
 47	 8.00	 56.00	 42  27   3   3		11 21 26 
 48	 13.00	 52.00	128  36   3   3		11 21 26 
 49	 6.00	 68.00	 49  30   3   3		11 21 26 
 50	 47.00	 47.00	 53  13   2   3		5 10 20 
 51	 49.00	 58.00	 28  10   1   5		1 2 4 8 16 
 52	 27.00	 43.00	 30   9   1   5		1 2 4 8 16 
 53	 37.00	 31.00	 51  14   2   3		5 10 20 
 54	 57.00	 29.00	 38  18   2   3		5 10 20 
 55	 63.00	 23.00	  2   2   1   5		1 2 4 8 16 
